category,category,airport,title_english,description_english,email,phone,website,last_updated
Parking and Transportation,पार्किंग और परिवहन,Chennai,Fast Track Car Rental services,Car Rental Services,mohanraj@fasttrackcalltaxi.in,9841050290,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Mumbai,AIRPORT CAB SERVICES,Prepaid & Cool Cab Services,nan,8879275239,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Mumbai,TAB CAB SERVICES,TAB CAB Services,nan,7738891598,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Mumbai,SHREE SAI CAR RENTAL SERVICES,Car Rental Services,nan,9819791320,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Bengaluru,AIRPORT SHUTTLE SERVICE - VAYU VAJRA,"The city shuttle service is the most comfortable and affordable way to travel to and from our airport. Known as Vayu Vajra, this is a fleet of air-conditioned Volvo buses connecting the airport to different corners of Bengaluru",ctmobmtc@gmail.com,8022952522,http://www.mybmtc.com/,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Indore,OLA CAB,Type of facility:GROUND TRANSPORT FACILITY Terminal : INTEGRATED Area : ARRIVAL SERVICES OFFERED :CAB SERVICES FOR PASSENGERS,nan,9340158807,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,INDIGO,Wheelchairs are provided by Indigo Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,8800770057,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,BRITISH AIRWAYS,Wheelchairs are provided by British Airways Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,1161238304,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,BRITISH AIRWAYS,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,THAI AIRWAYS,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,MALINDO AIR,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Baggage reclaim,State of the art Baggage conveyor belts are available in the Domestic & International arrivals for facilitating quick and safe handling of Baggage. There are ten Baggage conveyor belts in Domestic and six belts in International which are in operation.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Airline ticket counter,Ticketing counters of various airlines are available at departure level. Passengers & visitors can access these counters through city side. One ‘Taj India Tours’ ticketing counter is available in Departure level of International Terminal which can be accessed through city side as well.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Special needs,"You can place a request to your airline for a wheelchair while booking your tickets or you can also contact the airline ticketing counter after reaching the airport and request for it. At Kolkata Airport, we have made: • Ramps available for seamless movement of wheelchairs. • Braille symbols and auditory signals are provided in the lifts for visually impaired. • Disabled friendly toilets are available. • Ambulift services are available on payment basis.",nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,Copy of - MALAYSIAN AIRLINES,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,MAY I HELP YOU COUNTER -AAI,"Type of facility:MAY I HELP YOU COUNTER Terminal : INTEGRATED Area : DEPARTURE, ARRIVAL SERVICES OFFERED :PROVIDING ASSISTANCE TO PASSENGERS IN ARRIVAL AND DEPARTURE HALL",indoreatm@aai.aero,9425057716,https://www.aai.aero,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,MP TOURISM,Type of facility:TOURISM INFORMATION FACILITY Terminal : INTEGRATED Area : ARRIVAL SERVICES OFFERED :GUIDING PASSENGERS FOR TOURIST PLACES AND BOOKING AT TOURIST DESTINATIONS,nan,9770139169 / 7974170009,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,INDIAN POST,"Type of facility: POSTAL FACILITIES Terminal : OUTSIDE TERMINAL Area : DEPARTURE SERVICES OFFERED :PLI, SPEED POST, COURIER SERVICES",nan,9826310701,nan,2024-10-14
Wifi,वाई - फाई,Chennai,WiFi Services,"Passenger can check their email, catch up with social media friends with 45 minutes of complementary wifi access",wi-fi.noc@tatatel.co.in,044-60607070,www.tatateleservices.com,2024-10-14
Dining,भोजन,Guwahati,Go Airlines Wheelchair On Call,Wheelchair Services for Go Airlines Flyers,Unavailable,Unavailable,Unavailable,2024-10-14
Dining,भोजन,Delhi,LITE BITE FOODS PVT. LTD.,"Includes chain restaurants such as Street Food By Punjabi Grill, Baker Street,GrabnGo,CafÃ© Delhi Heights, Crispy Kreme",manoj.bhatia@lbf.co.in,9971323222,nan,2024-10-14
Dining,भोजन,Delhi,TRAVEL FOOD SERVICES PVT. LTD,"Includes chain restaurants such as Dominos, Hagen Dazs(T3),Curry Kitchen, Idli.com, Madoverdonut(MOD), Cafeccino.",nan,nan,nan,2024-10-14
Dining,भोजन,Bengaluru,PURO GUSTO,"Puro gusto is a bakery and coffee shop, which brings the best of Italian cafeteria tradition with an innovative twist. Here, one can switch off and enjoy a wide variety of delicacies in a relaxing ambience. (Location - near gate no 8)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,KAATI ZONE,"Kaati zone is a one stop outlet to grab a quick bite before heading into the city or catching your flight. Savour the dum style chicken biryani or the hearty and wholesome curry combos and if in a hurry, the popular chicken tikka or mixed vegetable roll, is a must.",suman@kaatizone.com,8065697771,nan,2024-10-14
Dining,भोजन,Bengaluru,CALIFORNIA BURIITO,"California burrito is a contemporary fast-casual Mexican grill, serving fresh food made using classic culinary techniques. Served in a assemble line format, guests can customize their meals precisely to ensure the perfect meal that meets their tastes. (Location - near arrival gates)",dineshm@californiaburito.in,8068888773,nan,2024-10-14
